Images,Time,ZT,Light,Genotype,Rep,Target,Rel. Quant.,Scaled,Scaled ZT,Normalized
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",0,5,60B,WT,2,RVE4,1,1,1,1.36875129
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",1,5,60B,WT,2,RVE4,0.859425512,0.859425512,0.859425512,1.176339777
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",2,5,60B,WT,2,RVE4,0.798382044,0.798382044,0.798382044,1.092786452
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",4,5,60B,WT,2,RVE4,0.442948007,0.442948007,0.442948007,0.606285655
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",0,17,60B,WT,2,RVE4,0.632450656,0.632450656,0.891823662,0.865667651
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",1,17,60B,WT,2,RVE4,0.669211374,0.669211374,0.94366024,0.915983931
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",2,17,60B,WT,2,RVE4,0.616106977,0.616106977,0.868777311,0.843297219
"RVE4: 2018-05-02 11hr 16min 19sec, actin: 2018-05-02 15hr 00min 54sec",4,17,60B,WT,2,RVE4,0.709165593,0.709165593,1,0.97067132
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",0,5,60B,WT,3,RVE4,1,1,1,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",1,5,60B,WT,3,RVE4,0.428413808,0.428413808,0.428413808,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",2,5,60B,WT,3,RVE4,0.371756744,0.371756744,0.371756744,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",4,5,60B,WT,3,RVE4,0.459707834,0.459707834,0.459707834,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",0,17,60B,WT,3,RVE4,0.284108462,0.284108462,0.413835527,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",1,17,60B,WT,3,RVE4,0.686525065,0.686525065,1,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",2,17,60B,WT,3,RVE4,0.649325559,0.649325559,0.945814787,NA
"RVE4: 2018-06-05 09hr 34min 12sec, actin: 2018-06-05 12hr 51min 23sec",4,17,60B,WT,3,RVE4,0.333098524,0.333098524,0.485194993,NA
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",0,5,DD,WT,1,RVE4,1,0.909165732,0.909165732,0.325106838
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",1,5,DD,WT,1,RVE4,1.099909471,1,1,0.357588091
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",2,5,DD,WT,1,RVE4,0.61296334,0.557285264,0.557285264,0.199278573
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",4,5,DD,WT,1,RVE4,0.332080771,0.301916457,0.301916457,0.10796173
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",0,17,DD,WT,1,RVE4,0.290125412,0.263772083,0.641180078,0.094321756
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",1,17,DD,WT,1,RVE4,0.45248663,0.411385338,1,0.147106498
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",2,17,DD,WT,1,RVE4,0.260748035,0.237063178,0.576255778,0.084770969
"RVE4: 2018-05-03 11hr 16min 23sec, actin: 2018-05-03 14hr 52min 56sec",4,17,DD,WT,1,RVE4,0.273124053,0.24831503,0.603606902,0.088794497
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",0,5,DD,WT,2,RVE4,1,1,1,0.389179338
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",1,5,DD,WT,2,RVE4,0.772133228,0.772133228,0.772133228,0.300498299
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",2,5,DD,WT,2,RVE4,0.759896885,0.759896885,0.759896885,0.295736167
"RVE4: 2018-05-03 11hr 22min 07sec, actin: 2018-05-03 14hr 55min 58sec",4,5,DD,WT,2,RVE4,0.466532581,0.466532581,0.466532581,0.181564841
