Protein,Label,ZT,Light,Rep,Fixed_Abundance
RVE4,ZT12 LD,12,LD,1,0.637238293
RVE4,ZT16 LD,16,LD,1,0.418796388
RVE4,ZT20 LD,20,LD,1,0.360139956
RVE4,ZT24 LD,24,LD,1,0.309217827
RVE4,ZT28 LD,28,LD,1,1
RVE4,ZT32 LD,32,LD,1,0.800360511
RVE4,ZT36 LD,36,LD,1,0.368190843
RVE4,ZT40 LD,40,LD,1,0.290952855
RVE4,ZT44 LD,44,LD,1,0.131396844
RVE4,ZT48 LD,48,LD,1,0.041431917
RVE4,ZT0 DD,0,DD,1,0.854490099
RVE4,ZT4 DD,4,DD,1,1
RVE4,ZT8 DD,8,DD,1,0.825672047
RVE4,ZT12 DD,12,DD,1,0.452685287
RVE4,ZT16 DD,16,DD,1,0.671656784
RVE4,ZT20 DD,20,DD,1,0.565465687
RVE4,ZT24 DD,24,DD,1,0.537637404
RVE4,ZT28 DD,28,DD,1,0.406049789
RVE4,ZT32 DD,32,DD,1,0.569832431
RVE4,ZT36 DD,36,DD,1,0.475554679
RVE4,ZT40 DD,40,DD,1,0.483614848
RVE4,ZT44 DD,44,DD,1,0.300448398
RVE4,ZT48 DD,48,DD,1,0.247427605
RVE8,ZT-3 60B,-3,60B,2,0.311202206
RVE8,ZT0 60B,0,60B,2,0.796303591
RVE8,ZT3 60B,3,60B,2,1
RVE8,ZT6 60B,6,60B,2,0.751078763
RVE8,ZT9 60B,9,60B,2,0.328253401
RVE8,ZT12 60B,12,60B,2,0.119293515
RVE8,ZT15 60B,15,60B,2,0.082798571
RVE8,ZT18 60B,18,60B,2,0.250740471
RVE8,ZT21 60B,21,60B,2,0.482154196
RVE8,ZT24 60B,24,60B,2,0.620687053
RVE8,ZT27 60B,27,60B,2,0.837055962
RVE8,ZT30 60B,30,60B,2,0.764977264
RVE8,ZT33 60B,33,60B,2,0.296602272
RVE8,ZT-3 60R,-3,60R,2,0.162655033
RVE8,ZT0 60R,0,60R,2,0.751578163
RVE8,ZT3 60R,3,60R,2,1
RVE8,ZT6 60R,6,60R,2,0.56592757
RVE8,ZT9 60R,9,60R,2,0.324171504
RVE8,ZT12 60R,12,60R,2,0.060091215
RVE8,ZT15 60R,15,60R,2,0.155850725
RVE8,ZT18 60R,18,60R,2,0.407378894
RVE8,ZT21 60R,21,60R,2,0.696073303
RVE8,ZT24 60R,24,60R,2,0.974126398
RVE8,ZT27 60R,27,60R,2,0.704535021
RVE8,ZT30 60R,30,60R,2,0.648775408
RVE8,ZT33 60R,33,60R,2,0.142420383
RVE8,ZT-3 LL,-3,LL,2,0.203239868
RVE8,ZT0 LL,0,LL,2,0.441211903
RVE8,ZT3 LL,3,LL,2,0.817951665
RVE8,ZT6 LL,6,LL,2,0.692745605
RVE8,ZT9 LL,9,LL,2,0.192373837
RVE8,ZT12 LL,12,LL,2,0.038699273
RVE8,ZT15 LL,15,LL,2,0.113677024
RVE8,ZT18 LL,18,LL,2,0.526059371
RVE8,ZT21 LL,21,LL,2,0.736246514
RVE8,ZT24 LL,24,LL,2,0.693850428
RVE8,ZT27 LL,27,LL,2,1
RVE8,ZT30 LL,30,LL,2,0.788000334
RVE8,ZT33 LL,33,LL,2,0.13363797
RVE8,ZT-3 LD,-3,LD,2,0.107698576
RVE8,ZT0 LD,0,LD,2,0.634849617
RVE8,ZT3 LD,3,LD,2,1
RVE8,ZT6 LD,6,LD,2,0.502608707
RVE8,ZT9 LD,9,LD,2,0.160541929
RVE8,ZT12 LD,12,LD,2,0.027465343
RVE8,ZT15 LD,15,LD,2,0.021367734
RVE8,ZT18 LD,18,LD,2,0.099835856
RVE8,ZT21 LD,21,LD,2,0.13952986
RVE8,ZT24 LD,24,LD,2,0.534399089
RVE8,ZT27 LD,27,LD,2,0.844381102
RVE8,ZT30 LD,30,LD,2,0.539872213
RVE8,ZT33 LD,33,LD,2,0.058287761
RVE8,ZT-3 DD,-3,DD,2,0.20266165
RVE8,ZT0 DD,0,DD,2,1
RVE8,ZT3 DD,3,DD,2,0.917413732
RVE8,ZT6 DD,6,DD,2,0.695981538
RVE8,ZT9 DD,9,DD,2,0.434693561
RVE8,ZT12 DD,12,DD,2,0.314412098
RVE8,ZT15 DD,15,DD,2,0.143687458
RVE8,ZT18 DD,18,DD,2,0.114323243
RVE8,ZT21 DD,21,DD,2,0.081819644
RVE8,ZT24 DD,24,DD,2,0.136810346
RVE8,ZT27 DD,27,DD,2,0.089229421
RVE8,ZT30 DD,30,DD,2,0.097487496
RVE8,ZT33 DD,33,DD,2,0.181663312
RVE4,ZT0 60B,0,60B,2,0.122480578
RVE4,ZT4 60B,4,60B,2,0.39957001
RVE4,ZT8 60B,8,60B,2,0.558265196
RVE4,ZT12 60B,12,60B,2,0.285629538
RVE4,ZT16 60B,16,60B,2,0.230661529
RVE4,ZT20 60B,20,60B,2,0.321534422
RVE4,ZT24 60B,24,60B,2,0.655922502
RVE4,ZT28 60B,28,60B,2,1
RVE4,ZT32 60B,32,60B,2,0.778979365
RVE4,ZT36 60B,36,60B,2,0.353999134
RVE4,ZT40 60B,40,60B,2,0.298060653
RVE4,ZT44 60B,44,60B,2,0.189541056
RVE4,ZT48 60B,48,60B,2,0.425318122
RVE4,ZT0 60R,0,60R,2,0.320830798
RVE4,ZT4 60R,4,60R,2,0.802179415
RVE4,ZT8 60R,8,60R,2,0.762631897
RVE4,ZT12 60R,12,60R,2,0.363017198
RVE4,ZT16 60R,16,60R,2,0.269844363
RVE4,ZT20 60R,20,60R,2,0.456061823
RVE4,ZT24 60R,24,60R,2,0.937744112
RVE4,ZT28 60R,28,60R,2,1
RVE4,ZT32 60R,32,60R,2,0.864806924
RVE4,ZT36 60R,36,60R,2,0.36036158
RVE4,ZT40 60R,40,60R,2,0.307469376
RVE4,ZT44 60R,44,60R,2,0.35007817
RVE4,ZT48 60R,48,60R,2,0.612413861
RVE4,ZT0 LL,0,LL,2,0.357808468
RVE4,ZT4 LL,4,LL,2,0.757293832
RVE4,ZT8 LL,8,LL,2,0.672723303
RVE4,ZT12 LL,12,LL,2,0.548863242
RVE4,ZT16 LL,16,LL,2,0.409265533
RVE4,ZT20 LL,20,LL,2,0.608583796
RVE4,ZT24 LL,24,LL,2,0.930883649
RVE4,ZT28 LL,28,LL,2,0.904979083
RVE4,ZT32 LL,32,LL,2,1
RVE4,ZT36 LL,36,LL,2,0.784925751
RVE4,ZT40 LL,40,LL,2,0.572466301
RVE4,ZT44 LL,44,LL,2,0.745443145
RVE4,ZT48 LL,48,LL,2,0.837828894
RVE4,ZT0 LD,0,LD,2,0.362447177
RVE4,ZT4 LD,4,LD,2,0.987198504
RVE4,ZT8 LD,8,LD,2,0.917426249
RVE4,ZT12 LD,12,LD,2,0.409894364
RVE4,ZT16 LD,16,LD,2,0.466064741
RVE4,ZT20 LD,20,LD,2,0.285665277
RVE4,ZT24 LD,24,LD,2,0.558760597
RVE4,ZT28 LD,28,LD,2,1
RVE4,ZT32 LD,32,LD,2,0.7167012
RVE4,ZT36 LD,36,LD,2,0.508323583
RVE4,ZT40 LD,40,LD,2,0.294282311
RVE4,ZT44 LD,44,LD,2,0.205162954
RVE4,ZT48 LD,48,LD,2,0.135136733
RVE4,ZT0 DD,0,DD,2,0.973403033
RVE4,ZT4 DD,4,DD,2,0.935391564
RVE4,ZT8 DD,8,DD,2,1
RVE4,ZT12 DD,12,DD,2,0.536596377
RVE4,ZT16 DD,16,DD,2,0.41333865
RVE4,ZT20 DD,20,DD,2,0.406592903
RVE4,ZT24 DD,24,DD,2,0.41638329
RVE4,ZT28 DD,28,DD,2,0.562218546
RVE4,ZT32 DD,32,DD,2,0.440906203
RVE4,ZT36 DD,36,DD,2,0.254538259
RVE4,ZT40 DD,40,DD,2,0.193200538
RVE4,ZT44 DD,44,DD,2,0.12108391
RVE4,ZT48 DD,48,DD,2,0.12984621
