Experiment,Blot,Label,Time,ZT,Light,Genotype,Rep,Target,Rel. Vol. (HA/control),Scaled,Scaled ZT
CHX 4,33,ZT19 0h 60B,0,19,60B,WT,1,RVE8,0.420080755,0.605052308,1
CHX 4,33,ZT19 1h 60B,1,19,60B,WT,1,RVE8,0.239216647,0.344549429,0.569453955
CHX 4,33,ZT19 2h 60B,2,19,60B,WT,1,RVE8,0.219990758,0.316857924,0.523686829
CHX 4,33,ZT19 4h 60B,4,19,60B,WT,1,RVE8,0.134642365,0.193928603,0.320515434
CHX 4,34,ZT7 0h 60R,0,7,60R,WT,1,RVE8,0.693373139,1,1
CHX 4,34,ZT7 1h 60R,1,7,60R,WT,1,RVE8,0.442503916,0.638190163,0.638190163
CHX 4,34,ZT7 2h 60R,2,7,60R,WT,1,RVE8,0.399469709,0.576125158,0.576125158
CHX 4,34,ZT7 4h 60R,4,7,60R,WT,1,RVE8,0.288897006,0.416654454,0.416654454
CHX 4,34,ZT19 0h 60R,0,19,60R,WT,1,RVE8,0.429100906,0.618860008,1
CHX 4,34,ZT19 1h 60R,1,19,60R,WT,1,RVE8,0.267749008,0.386154284,0.623976795
CHX 4,34,ZT19 2h 60R,2,19,60R,WT,1,RVE8,0.173972867,0.250908,0.405435796
CHX 4,34,ZT19 4h 60R,4,19,60R,WT,1,RVE8,0.096257994,0.138825675,0.224324844
CHX 4,35,ZT7 0h DD,0,7,DD,WT,1,RVE8,0.629022197,1,1
CHX 4,35,ZT7 1h DD,1,7,DD,WT,1,RVE8,0.2899208,0.460907105,0.460907105
CHX 4,35,ZT7 2h DD,2,7,DD,WT,1,RVE8,0.422584271,0.671811381,0.671811381
CHX 4,35,ZT7 4h DD,4,7,DD,WT,1,RVE8,0.279828281,0.444862331,0.444862331
CHX 4,35,ZT19 0h DD,0,19,DD,WT,1,RVE8,0.233378467,0.371017857,1
CHX 4,35,ZT19 1h DD,1,19,DD,WT,1,RVE8,0.194721763,0.309562626,0.834360452
CHX 4,35,ZT19 2h DD,2,19,DD,WT,1,RVE8,0.132966626,0.211386222,0.56974676
CHX 4,35,ZT19 4h DD,4,19,DD,WT,1,RVE8,0.098910158,0.157244305,0.4238187
CHX 4,38,ZT7 0h DD,0,7,DD,WT,2,RVE8,0.836312291,0.734443132,0.734443132
CHX 4,38,ZT7 1h DD,1,7,DD,WT,2,RVE8,1.138702582,1,1
CHX 4,38,ZT7 2h DD,2,7,DD,WT,2,RVE8,0.573152832,0.503338484,0.503338484
CHX 4,38,ZT7 4h DD,4,7,DD,WT,2,RVE8,0.379089104,0.332913186,0.332913186
CHX 4,38,ZT19 0h DD,0,19,DD,WT,2,RVE8,0.310801666,0.272943674,1
CHX 4,38,ZT19 1h DD,1,19,DD,WT,2,RVE8,0.102674019,0.090167548,0.330352217
CHX 4,38,ZT19 2h DD,2,19,DD,WT,2,RVE8,0.095521656,0.083886396,0.307339589
CHX 4,38,ZT19 4h DD,4,19,DD,WT,2,RVE8,0.080045707,0.070295535,0.25754594
CHX 4,39,ZT7 0h 60B,0,7,60B,WT,2,RVE8,1.595218234,1,1
CHX 4,39,ZT7 1h 60B,1,7,60B,WT,2,RVE8,0.875695365,0.548950198,0.548950198
CHX 4,39,ZT7 2h 60B,2,7,60B,WT,2,RVE8,0.834787351,0.523306049,0.523306049
CHX 4,39,ZT7 4h 60B,4,7,60B,WT,2,RVE8,0.801495383,0.502436197,0.502436197
CHX 4,39,ZT19 0h 60B,0,19,60B,WT,2,RVE8,1.114189456,0.698455818,1
CHX 4,39,ZT19 1h 60B,1,19,60B,WT,2,RVE8,0.658118175,0.412556828,0.590669901
CHX 4,39,ZT19 2h 60B,2,19,60B,WT,2,RVE8,0.635287625,0.398244962,0.570179175
CHX 4,39,ZT19 4h 60B,4,19,60B,WT,2,RVE8,0.162099608,0.101615945,0.145486575
CHX 4,40,ZT7 0h 60R,0,7,60R,WT,2,RVE8,2.135411445,1,1
CHX 4,40,ZT7 1h 60R,1,7,60R,WT,2,RVE8,1.496418521,0.700763558,0.700763558
CHX 4,40,ZT7 2h 60R,2,7,60R,WT,2,RVE8,1.024802061,0.47990848,0.47990848
CHX 4,40,ZT7 4h 60R,4,7,60R,WT,2,RVE8,0.509934177,0.238799028,0.238799028
CHX 4,40,ZT19 0h 60R,0,19,60R,WT,2,RVE8,0.763942315,0.357749471,1
CHX 4,40,ZT19 1h 60R,1,19,60R,WT,2,RVE8,0.302434979,0.141628434,0.395887194
CHX 4,40,ZT19 2h 60R,2,19,60R,WT,2,RVE8,0.356802724,0.167088514,0.467054537
CHX 4,40,ZT19 4h 60R,4,19,60R,WT,2,RVE8,0.204756855,0.095886371,0.268026592
CHX 5,58,ZT7 0h DD,0,7,DD,WT,1,RVE8,1.421106445,1,1
CHX 5,58,ZT7 1h DD,1,7,DD,WT,1,RVE8,0.888942573,0.625528493,0.625528493
